CLDR,Meaning,Note,Unicode
man-juggling-medium-light-skin-tone,[],"['\nThe Man Juggling: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🤹 Person Juggling, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Juggling: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-juggling-medium-skin-tone,[],"['\nThe Man Juggling: Medium Skin Tone emoji is a ZWJ sequence combining 🤹 Person Juggling, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Juggling: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-juggling,[],"['\nThe Man Juggling emoji is a ZWJ sequence combining 🤹 Person Juggling, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Juggling was added to Emoji 4.0 in 2016.\n']
man-kneeling-dark-skin-tone,[],"['\nThe Man Kneeling: Dark Skin Tone emoji is a ZWJ sequence combining 🧎 Person Kneeling, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Kneeling: Dark Skin Tone was added to Emoji 12.0 in 2019.\n']
man-kneeling-light-skin-tone,[],"['\nThe Man Kneeling: Light Skin Tone emoji is a ZWJ sequence combining 🧎 Person Kneeling, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Kneeling: Light Skin Tone was added to Emoji 12.0 in 2019.\n']
man-kneeling-medium-dark-skin-tone,[],"['\nThe Man Kneeling: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧎 Person Kneeling, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Kneeling: Medium-Dark Skin Tone was added to Emoji 12.0 in 2019.\n']
man-kneeling-medium-light-skin-tone,[],"['\nThe Man Kneeling: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧎 Person Kneeling, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Kneeling: Medium-Light Skin Tone was added to Emoji 12.0 in 2019.\n']
man-kneeling-medium-skin-tone,[],"['\nThe Man Kneeling: Medium Skin Tone emoji is a ZWJ sequence combining 🧎 Person Kneeling, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Kneeling: Medium Skin Tone was added to Emoji 12.0 in 2019.\n']
man-kneeling,[],"['\nThe Man Kneeling emoji is a ZWJ sequence combining 🧎 Person Kneeling, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Kneeling was added to Emoji 12.0 in 2019.\n']
man-lifting-weights-dark-skin-tone,[],"['\nThe Man Lifting Weights: Dark Skin Tone emoji is a ZWJ sequence combining 🏋️ Person Lifting Weights, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Lifting Weights: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-lifting-weights-light-skin-tone,[],"['\nThe Man Lifting Weights: Light Skin Tone emoji is a ZWJ sequence combining 🏋️ Person Lifting Weights, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Lifting Weights: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-lifting-weights-medium-dark-skin-tone,[],"['\nThe Man Lifting Weights: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🏋️ Person Lifting Weights, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Lifting Weights: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-lifting-weights-medium-light-skin-tone,[],"['\nThe Man Lifting Weights: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🏋️ Person Lifting Weights, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Lifting Weights: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-lifting-weights-medium-skin-tone,[],"['\nThe Man Lifting Weights: Medium Skin Tone emoji is a ZWJ sequence combining 🏋️ Person Lifting Weights, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Lifting Weights: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-lifting-weights,['The male version of the 🏋\xa0Weight Lifter emoji.\xa0Currently identical in appearance to the non-gendered base emoji.'],"['\nThe Man Lifting Weights emoji is a ZWJ sequence combining 🏋️ Person Lifting Weights, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Lifting Weights was added to Emoji 4.0 in 2016.\n']
man-light-skin-tone-bald,[],"['\nThe Man: Light Skin Tone, Bald emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🦲 Bald.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Light Skin Tone, Bald was added to Emoji 11.0 in 2018.\n']"
man-light-skin-tone-beard,[],"['\nThe Man: Light Skin Tone, Beard emoji is a ZWJ sequence combining 🧔 Person: Beard, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Light Skin Tone, Beard was added to Emoji 13.1 in 2020.\n']"
man-light-skin-tone-blond-hair,[],"['\nThe Man: Light Skin Tone, Blond Hair emoji is a ZWJ sequence combining 👱 Person: Blond Hair, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Light Skin Tone, Blond Hair was added to Emoji 4.0 in 2016.\n']"
man-light-skin-tone-curly-hair,[],"['\nThe Man: Light Skin Tone, Curly Hair emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🦱 Curly Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Light Skin Tone, Curly Hair was added to Emoji 11.0 in 2018.\n']"
man-light-skin-tone-red-hair,[],"['\nThe Man: Light Skin Tone, Red Hair emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🦰 Red Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Light Skin Tone, Red Hair was added to Emoji 11.0 in 2018.\n']"
man-light-skin-tone-white-hair,[],"['\nThe Man: Light Skin Tone, White Hair emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🦳 White Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Light Skin Tone, White Hair was added to Emoji 11.0 in 2018.\n']"
man-light-skin-tone,[],['\nThe Man: Light Skin Tone emoji is a modifier sequence combining 👨 Man and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nMan: Light Skin Tone was added to Emoji 2.0 in 2015.\n']
man-mage-dark-skin-tone,[],"['\nThe Man Mage: Dark Skin Tone emoji is a ZWJ sequence combining 🧙 Mage, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mage: Dark Skin Tone was added to Emoji 5.0 in 2017.\n']
man-mage-light-skin-tone,[],"['\nThe Man Mage: Light Skin Tone emoji is a ZWJ sequence combining 🧙 Mage, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mage: Light Skin Tone was added to Emoji 5.0 in 2017.\n']
man-mage-medium-dark-skin-tone,[],"['\nThe Man Mage: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧙 Mage, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mage: Medium-Dark Skin Tone was added to Emoji 5.0 in 2017.\n']
man-mage-medium-light-skin-tone,[],"['\nThe Man Mage: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧙 Mage, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mage: Medium-Light Skin Tone was added to Emoji 5.0 in 2017.\n\n']
man-mage-medium-skin-tone,[],"['\nThe Man Mage: Medium Skin Tone emoji is a ZWJ sequence combining 🧙 Mage, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mage: Medium Skin Tone was added to Emoji 5.0 in 2017.\n']
man-mage,[],"['\nThe Man Mage emoji is a ZWJ sequence combining 🧙 Mage, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mage was added to Emoji 5.0 in 2017.\n']
man-mechanic-dark-skin-tone,[],"['\nThe Man Mechanic: Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and 🔧 Wrench.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mechanic: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mechanic-light-skin-tone,[],"['\nThe Man Mechanic: Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🔧 Wrench.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mechanic: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mechanic-medium-dark-skin-tone,[],"['\nThe Man Mechanic: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🔧 Wrench.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mechanic: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mechanic-medium-light-skin-tone,[],"['\nThe Man Mechanic: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🔧 Wrench.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mechanic: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mechanic-medium-skin-tone,[],"['\nThe Man Mechanic: Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🔧 Wrench.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mechanic: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mechanic,[],"['\nThe Man Mechanic emoji is a ZWJ sequence combining 👨 Man, \u200d Zero Width Joiner and 🔧 Wrench.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mechanic was added to Emoji 4.0 in 2016.\n']
man-medium-dark-skin-tone-bald,[],"['\nThe Man: Medium-Dark Skin Tone, Bald emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🦲 Bald.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Dark Skin Tone, Bald was added to Emoji 11.0 in 2018.\n']"
man-medium-dark-skin-tone-beard,[],"['\nThe Man: Medium-Dark Skin Tone, Beard emoji is a ZWJ sequence combining 🧔 Person: Beard, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Dark Skin Tone, Beard was added to Emoji 13.1 in 2020.\n']"
man-medium-dark-skin-tone-blond-hair,[],"['\nThe Man: Medium-Dark Skin Tone, Blond Hair emoji is a ZWJ sequence combining 👱 Person: Blond Hair, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Dark Skin Tone, Blond Hair was added to Emoji 4.0 in 2016.\n']"
man-medium-dark-skin-tone-curly-hair,[],"['\nThe Man: Medium-Dark Skin Tone, Curly Hair emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🦱 Curly Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Dark Skin Tone, Curly Hair was added to Emoji 11.0 in 2018.\n']"
man-medium-dark-skin-tone-red-hair,[],"['\nThe Man: Medium-Dark Skin Tone, Red Hair emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🦰 Red Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Dark Skin Tone, Red Hair was added to Emoji 11.0 in 2018.\n']"
man-medium-dark-skin-tone-white-hair,[],"['\nThe Man: Medium-Dark Skin Tone, White Hair emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🦳 White Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Dark Skin Tone, White Hair was added to Emoji 11.0 in 2018.\n']"
man-medium-dark-skin-tone,[],['\nThe Man: Medium-Dark Skin Tone emoji is a modifier sequence combining 👨 Man and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nMan: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
man-medium-light-skin-tone-bald,[],"['\nThe Man: Medium-Light Skin Tone, Bald emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🦲 Bald.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Light Skin Tone, Bald was added to Emoji 11.0 in 2018.\n']"
man-medium-light-skin-tone-beard,[],"['\nThe Man: Medium-Light Skin Tone, Beard emoji is a ZWJ sequence combining 🧔 Person: Beard, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Light Skin Tone, Beard was added to Emoji 13.1 in 2020.\n']"
man-medium-light-skin-tone-blond-hair,[],"['\nThe Man: Medium-Light Skin Tone, Blond Hair emoji is a ZWJ sequence combining 👱 Person: Blond Hair, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Light Skin Tone, Blond Hair was added to Emoji 4.0 in 2016.\n']"
man-medium-light-skin-tone-curly-hair,[],"['\nThe Man: Medium-Light Skin Tone, Curly Hair emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🦱 Curly Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Light Skin Tone, Curly Hair was added to Emoji 11.0 in 2018.\n']"
man-medium-light-skin-tone-red-hair,[],"['\nThe Man: Medium-Light Skin Tone, Red Hair emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🦰 Red Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Light Skin Tone, Red Hair was added to Emoji 11.0 in 2018.\n']"
man-medium-light-skin-tone-white-hair,[],"['\nThe Man: Medium-Light Skin Tone, White Hair emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🦳 White Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium-Light Skin Tone, White Hair was added to Emoji 11.0 in 2018.\n']"
man-medium-light-skin-tone,[],['\nThe Man: Medium-Light Skin Tone emoji is a modifier sequence combining 👨 Man and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nMan: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.\n']
man-medium-skin-tone-bald,[],"['\nThe Man: Medium Skin Tone, Bald emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🦲 Bald.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium Skin Tone, Bald was added to Emoji 11.0 in 2018.\n']"
man-medium-skin-tone-beard,[],"['\nThe Man: Medium Skin Tone, Beard emoji is a ZWJ sequence combining 🧔 Person: Beard, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium Skin Tone, Beard was added to Emoji 13.1 in 2020.\n']"
man-medium-skin-tone-blond-hair,[],"['\nThe Man: Medium Skin Tone, Blond Hair emoji is a ZWJ sequence combining 👱 Person: Blond Hair, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium Skin Tone, Blond Hair was added to Emoji 4.0 in 2016.\n']"
man-medium-skin-tone-curly-hair,[],"['\nThe Man: Medium Skin Tone, Curly Hair emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🦱 Curly Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium Skin Tone, Curly Hair was added to Emoji 11.0 in 2018.\n']"
man-medium-skin-tone-red-hair,[],"['\nThe Man: Medium Skin Tone, Red Hair emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🦰 Red Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium Skin Tone, Red Hair was added to Emoji 11.0 in 2018.\n\n']"
man-medium-skin-tone-white-hair,[],"['\nThe Man: Medium Skin Tone, White Hair emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🦳 White Hair.\nThese display as a single emoji on supported platforms.\n']","['\nMan: Medium Skin Tone, White Hair was added to Emoji 11.0 in 2018.\n\n']"
man-medium-skin-tone,[],['\nThe Man: Medium Skin Tone emoji is a modifier sequence combining 👨 Man and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nMan: Medium Skin Tone was added to Emoji 2.0 in 2015.\n']
man-mountain-biking-dark-skin-tone,[],"['\nThe Man Mountain Biking: Dark Skin Tone emoji is a ZWJ sequence combining 🚵 Person Mountain Biking, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mountain Biking: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mountain-biking-light-skin-tone,[],"['\nThe Man Mountain Biking: Light Skin Tone emoji is a ZWJ sequence combining 🚵 Person Mountain Biking, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mountain Biking: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mountain-biking-medium-dark-skin-tone,[],"['\nThe Man Mountain Biking: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🚵 Person Mountain Biking, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mountain Biking: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mountain-biking-medium-light-skin-tone,[],"['\nThe Man Mountain Biking: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🚵 Person Mountain Biking, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mountain Biking: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mountain-biking-medium-skin-tone,[],"['\nThe Man Mountain Biking: Medium Skin Tone emoji is a ZWJ sequence combining 🚵 Person Mountain Biking, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mountain Biking: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-mountain-biking,['The male version of the 🚵\xa0Mountain Bicyclist\xa0emoji. Currently identical in appearance to the non-gendered base emoji.'],"['\nThe Man Mountain Biking emoji is a ZWJ sequence combining 🚵 Person Mountain Biking, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Mountain Biking was added to Emoji 4.0 in 2016.\n']
man-office-worker-dark-skin-tone,[],"['\nThe Man Office Worker: Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and 💼 Briefcase.\nThese display as a single emoji on supported platforms.\n']",['\nMan Office Worker: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-office-worker-light-skin-tone,[],"['\nThe Man Office Worker: Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 💼 Briefcase.\nThese display as a single emoji on supported platforms.\n']",['\nMan Office Worker: Light Skin Tone was added to Emoji 4.0 in 2016.\n\n']
man-office-worker-medium-dark-skin-tone,[],"['\nThe Man Office Worker: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 💼 Briefcase.\nThese display as a single emoji on supported platforms.\n']",['\nMan Office Worker: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-office-worker-medium-light-skin-tone,[],"['\nThe Man Office Worker: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 💼 Briefcase.\nThese display as a single emoji on supported platforms.\n']",['\nMan Office Worker: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-office-worker-medium-skin-tone,[],"['\nThe Man Office Worker: Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 💼 Briefcase.\nThese display as a single emoji on supported platforms.\n ']",['\nMan Office Worker: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-office-worker,"['A man wearing business attire. This may include items such as a shirt, tie, jacket, or headset.']","['\nThe Man Office Worker emoji is a ZWJ sequence combining 👨 Man, \u200d Zero Width Joiner and 💼 Briefcase.\nThese display as a single emoji on supported platforms.\n']",['\nMan Office Worker was added to Emoji 4.0 in 2016.\n']
man-pilot-dark-skin-tone,[],"['\nThe Man Pilot: Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ✈️ Airplane.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pilot: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pilot-light-skin-tone,[],"['\nThe Man Pilot: Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ✈️ Airplane.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pilot: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pilot-medium-dark-skin-tone,[],"['\nThe Man Pilot: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ✈️ Airplane.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pilot: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pilot-medium-light-skin-tone,[],"['\nThe Man Pilot: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ✈️ Airplane.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pilot: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pilot-medium-skin-tone,[],"['\nThe Man Pilot: Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ✈️ Airplane.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pilot: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pilot,[],"['\nThe Man Pilot emoji is a ZWJ sequence combining 👨 Man, \u200d Zero Width Joiner and ✈️ Airplane.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pilot was added to Emoji 4.0 in 2016.\n']
man-playing-handball-dark-skin-tone,[],"['\nThe Man Playing Handball: Dark Skin Tone emoji is a ZWJ sequence combining 🤾 Person Playing Handball, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Handball: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-playing-handball-light-skin-tone,[],"['\nThe Man Playing Handball: Light Skin Tone emoji is a ZWJ sequence combining 🤾 Person Playing Handball, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Handball: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-playing-handball-medium-dark-skin-tone,[],"['\nThe Man Playing Handball: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🤾 Person Playing Handball, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Handball: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-playing-handball-medium-light-skin-tone,[],"['\nThe Man Playing Handball: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🤾 Person Playing Handball, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Handball: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-playing-handball-medium-skin-tone,[],"['\nThe Man Playing Handball: Medium Skin Tone emoji is a ZWJ sequence combining 🤾 Person Playing Handball, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Handball: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-playing-handball,[],"['\nThe Man Playing Handball emoji is a ZWJ sequence combining 🤾 Person Playing Handball, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Handball was added to Emoji 4.0 in 2016.\n']
man-playing-water-polo-dark-skin-tone,[],"['\nThe Man Playing Water Polo: Dark Skin Tone emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Water Polo: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-playing-water-polo-light-skin-tone,[],"['\nThe Man Playing Water Polo: Light Skin Tone emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Water Polo: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-playing-water-polo-medium-dark-skin-tone,[],"['\nThe Man Playing Water Polo: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Water Polo: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
