CLDR,Meaning,Note,Unicode
artist,[],"['\nThe Artist emoji is a ZWJ sequence combining 🧑 Person, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nArtist was added to Emoji 12.1 in 2019.\n']
astonished-face,"['A yellow face with open eyes, raised eyebrows, and an open mouth, as if gasping in shock or surprise. Often depicted showing its upper teeth.\xa0May convey a wide range of emotions, including awe, amazement, admiration, disbelief, excitement, or concern.', 'Similar to 😯\xa0Hushed Face, which features smaller eyes and mouth. Several earlier designs, including Apple’s, displayed X-shaped eyes, making the emoji resemble 😵\xa0Dizzy Face. Google’s design previously depicted a wobbly expression, as if inebriated.']",[],"['\nAstonished Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n', '🚩 Appearance historically differs greatly\xa0cross-platform. Use with caution.\xa0🚨']"
astronaut-dark-skin-tone,[],"['\nThe Astronaut: Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nAstronaut: Dark Skin Tone was added to Emoji 12.1 in 2019.\n']
astronaut-light-skin-tone,[],"['\nThe Astronaut: Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nAstronaut: Light Skin Tone was added to Emoji 12.1 in 2019.\n']
astronaut-medium-dark-skin-tone,[],"['\nThe Astronaut: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nAstronaut: Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.\n']
astronaut-medium-light-skin-tone,[],"['\nThe Astronaut: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nAstronaut: Medium-Light Skin Tone was added to Emoji 12.1 in 2019.\n']
astronaut-medium-skin-tone,[],"['\nThe Astronaut: Medium Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nAstronaut: Medium Skin Tone was added to Emoji 12.1 in 2019.\n']
astronaut,['An astronaut or cosmonaut shown wearing a\xa0space suit and helmet.'],"['\nThe Astronaut emoji is a ZWJ sequence combining 🧑 Person, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nAstronaut was added to Emoji 12.1 in 2019.\n']
atm-sign,[],[],['\nATM Sign was approved as part of Unicode 6.0 in 2010 under the name “Automated Teller Machine” and added to Emoji 1.0 in 2015.\n']
atom-symbol,[],[],['\nAtom Symbol was approved as part of Unicode 4.1 in 2005 and added to Emoji 1.0 in 2015.\n']
